Pothole,Method, CN_A, CN_B, CN_C, CN_D,Infiltration,NSE,PBIAS,RSR,R2,
Mouth,1,72,81,88,91,100,0.39996459,19.60167302,0.77346252,0.474033941,
Mouth,1,72,81,88,91,105,0.40706576,26.1647702,0.76887209,0.464669328,
Mouth,1,72,81,88,91,110,0.40648568,32.19690553,0.7692481,0.453642609,
Mouth,1,72,81,88,91,115,0.39943838,37.76465069,0.77380159,0.440829826,
Mouth,1,72,81,88,91,120,0.38847592,42.89642388,0.78083202,0.427537367,
Mouth,1,72,81,88,91,125,0.37693809,47.32409343,0.7881637,0.415540935,
Mouth,1,72,81,88,91,130,0.35794601,51.68466624,0.80008587,0.399035277,
Mouth,2,72,81,88,91,45,-0.19251305,-58.93632731,1.09039136,0.466547983,
Mouth,2,72,81,88,91,50,0.21805408,-23.8920136,0.88295626,0.49740037,
Mouth,2,72,81,88,91,55,0.31987071,-5.4051256,0.8234677,0.493640512,
Mouth,2,72,81,88,91,60,0.37738369,8.60126484,0.78788181,0.487534068,
Mouth,2,72,81,88,91,65,0.40676996,19.69722087,0.76906385,0.477853855,
Mouth,2,72,81,88,91,70,0.41328045,29.42439627,0.7648321,0.462840705,
Mouth,2,72,81,88,91,75,0.40297172,38.02286875,0.77152194,0.443111544,
Mouth,2,72,81,88,91,80,0.38578284,45.39190323,0.78254947,0.423578476,
Mouth,2,72,81,88,91,85,0.3586206,52.01012097,0.79966545,0.39965716,
Mouth,2,72,81,88,91,90,0.32990976,56.45225376,0.81736771,0.375854035,
Mouth,2,72,81,88,91,95,0.30071662,60.26582712,0.83498261,0.351838205,
Mouth,3,72,81,88,91,20,-2.16666982,-158.2606937,1.77685595,0.364255347,
Mouth,3,72,81,88,91,25,-0.26269972,-66.35688861,1.12202071,0.468998336,
Mouth,3,72,81,88,91,30,0.30004073,-14.0290491,0.83538604,0.506496918,
Mouth,3,72,81,88,91,35,0.40037545,10.97626287,0.77319767,0.494516715,
Mouth,3,72,81,88,91,40,0.42402317,28.21254068,0.75779779,0.471937272,
Mouth,3,72,81,88,91,45,0.39932493,42.30069116,0.77387468,0.436191503,
Mouth,3,72,81,88,91,50,0.35432171,53.01139377,0.80234089,0.39615818,
Mouth,3,72,81,88,91,55,0.30576414,59.8485655,0.83196365,0.35616948,
Mouth,3,72,81,88,91,60,0.26407797,65.40730029,0.85657764,0.323223566,
Mouth,3,72,81,88,91,65,0.22993745,69.80933552,0.87622135,0.297149157,
