Month,Pothole,scen,avg.max,median.max
2,Lettuce,Drain3Retired,506.2367195,0
2,Lettuce,Drain3RetiredAll,0,0
2,Lettuce,Drain3RetiredCT,821.3258817,0
2,Lettuce,Drain3RetiredNT,1060.49434,0
2,Lettuce,NoTillRetired,3591.24598,2634.528468
2,Lettuce,RetiredAll,148.7172147,0
2,Lettuce,RetiredPothole,2861.779831,0
2,Mouth,ConTillDrain01,1364.228116,0
2,Mouth,ConTillDrain02,548.3494879,0
2,Mouth,ConTillDrain03,250.4788032,0
2,Mouth,ConTillRetired,988.477862,0
2,Mouth,Drain0,1593.558834,0
2,Mouth,Drain01,1282.500578,0
2,Mouth,Drain02,494.5968153,0
2,Mouth,Drain03,249.4097286,0
2,Mouth,Drain0CT,1649.064004,0
2,Mouth,Drain0NT,1904.24242,0
2,Mouth,Drain1NT,1687.305314,0
2,Mouth,Drain1Retired,290.0261505,0
2,Mouth,Drain1RetiredAll,0,0
2,Mouth,Drain1RetiredCT,637.6077142,0
2,Mouth,Drain1RetiredNT,921.2874595,0
2,Mouth,Drain2NT,821.0225253,0
2,Mouth,Drain2Retired,213.6086958,0
2,Mouth,Drain2RetiredAll,0,0
2,Mouth,Drain2RetiredCT,262.2809158,0
2,Mouth,Drain2RetiredNT,318.7649974,0
2,Mouth,Drain3NT,250.6235609,0
2,Mouth,Drain3Retired,53.51701964,0
2,Mouth,Drain3RetiredAll,0,0
2,Mouth,Drain3RetiredCT,154.7262261,0
2,Mouth,Drain3RetiredNT,154.9376531,0
2,Mouth,NoTillRetired,1260.752922,0
2,Mouth,RetiredAll,0,0
2,Mouth,RetiredPothole,923.4134996,0
2,Walnut,ConTillDrain01,1996.877518,0
2,Walnut,ConTillDrain02,1515.377071,0
2,Walnut,ConTillDrain03,578.2747477,0
2,Walnut,ConTillRetired,2269.674546,0
2,Walnut,Drain0,2225.429701,0
2,Walnut,Drain01,1606.152059,0
2,Walnut,Drain02,1064.804773,0
2,Walnut,Drain03,273.5435391,0
2,Walnut,Drain0CT,2568.811564,0
2,Walnut,Drain0NT,2853.837369,0
2,Walnut,Drain1NT,2375.224816,0
2,Walnut,Drain1Retired,1392.806226,0
2,Walnut,Drain1RetiredAll,0,0
2,Walnut,Drain1RetiredCT,1588.223613,0
2,Walnut,Drain1RetiredNT,1852.959647,0
2,Walnut,Drain2NT,1780.23636,0
2,Walnut,Drain2Retired,522.2402901,0
2,Walnut,Drain2RetiredAll,0,0
2,Walnut,Drain2RetiredCT,1033.766782,0
2,Walnut,Drain2RetiredNT,1269.195214,0
2,Walnut,Drain3NT,1178.590771,0
2,Walnut,Drain3Retired,212.6339711,0
2,Walnut,Drain3RetiredAll,0,0
2,Walnut,Drain3RetiredCT,216.6558633,0
2,Walnut,Drain3RetiredNT,328.2669007,0
2,Walnut,NoTillRetired,2408.912443,0
2,Walnut,RetiredAll,0,0
2,Walnut,RetiredPothole,2034.180824,0
3,Bunny,ConTillDrain01,6982.052266,0
3,Bunny,ConTillDrain02,5121.483871,0
3,Bunny,ConTillDrain03,3765.145549,0
3,Bunny,ConTillRetired,9147.348678,3482.022137
3,Bunny,Drain0,8654.73623,3271.586198
3,Bunny,Drain01,6093.759062,0
3,Bunny,Drain02,4567.738564,0
3,Bunny,Drain03,3004.82726,0
3,Bunny,Drain0CT,9668.285465,6142.198582
3,Bunny,Drain0NT,11148.96663,7894.286339
3,Bunny,Drain1NT,7854.58974,0
3,Bunny,Drain1Retired,5663.41645,0
3,Bunny,Drain1RetiredAll,586.4587868,0
3,Bunny,Drain1RetiredCT,6464.861893,0
3,Bunny,Drain1RetiredNT,7341.455103,0
3,Bunny,Drain2NT,5763.918401,0
3,Bunny,Drain2Retired,4374.729379,0
3,Bunny,Drain2RetiredAll,0,0
3,Bunny,Drain2RetiredCT,4794.736114,0
3,Bunny,Drain2RetiredNT,5186.34732,0
3,Bunny,Drain3NT,4309.766454,0
3,Bunny,Drain3Retired,2723.965622,0
3,Bunny,Drain3RetiredAll,0,0
3,Bunny,Drain3RetiredCT,3340.428276,0
3,Bunny,Drain3RetiredNT,3957.982137,0
3,Bunny,NoTillRetired,10379.34835,7478.829683
3,Bunny,RetiredAll,1661.827906,0
3,Bunny,RetiredPothole,8242.768692,2115.441912
3,Cardinal,ConTillDrain01,2358.799656,0
3,Cardinal,ConTillDrain02,1748.006704,0
3,Cardinal,ConTillDrain03,1185.824454,0
3,Cardinal,ConTillRetired,3371.377086,2181.837023
3,Cardinal,Drain0,3238.558432,2098.642655
3,Cardinal,Drain01,1976.429482,0
3,Cardinal,Drain02,1350.010615,0
3,Cardinal,Drain03,791.8475947,0
3,Cardinal,Drain0CT,3813.702933,2504.699708
3,Cardinal,Drain0NT,4452.388924,3261.466956
3,Cardinal,Drain1NT,2790.389414,0
3,Cardinal,Drain1Retired,1693.062716,0
3,Cardinal,Drain1RetiredAll,649.2529617,0
3,Cardinal,Drain1RetiredCT,2100.528787,0
3,Cardinal,Drain1RetiredNT,2509.705303,0
3,Cardinal,Drain2NT,2175.010962,0
3,Cardinal,Drain2Retired,1134.185663,0
3,Cardinal,Drain2RetiredAll,250.0442547,0
3,Cardinal,Drain2RetiredCT,1495.696081,0
3,Cardinal,Drain2RetiredNT,1843.587887,0
3,Cardinal,Drain3NT,1460.864277,0
3,Cardinal,Drain3Retired,571.1898671,0
3,Cardinal,Drain3RetiredAll,0,0
3,Cardinal,Drain3RetiredCT,889.9686221,0
3,Cardinal,Drain3RetiredNT,1209.418912,0
3,Cardinal,NoTillRetired,4073.172347,2743.993963
3,Cardinal,RetiredAll,1544.752721,0
3,Cardinal,RetiredPothole,3029.494624,2146.477409
3,Hen,ConTillDrain01,1100.375433,330.5132148
3,Hen,ConTillDrain02,784.1245415,0
3,Hen,ConTillDrain03,506.6690689,0
3,Hen,ConTillRetired,1770.90148,1910.291475
3,Hen,Drain0,1755.691456,1910.291475
3,Hen,Drain01,1075.062859,330.5132148
3,Hen,Drain02,778.089254,0
3,Hen,Drain03,502.1480553,0
3,Hen,Drain0CT,1770.90148,1910.291475
3,Hen,Drain0NT,1893.356071,2005.56502
3,Hen,Drain1NT,1218.547882,701.6372317
3,Hen,Drain1Retired,1071.984632,330.5132148
3,Hen,Drain1RetiredAll,0,0
3,Hen,Drain1RetiredCT,1100.375433,330.5132148
3,Hen,Drain1RetiredNT,1218.547882,701.6372317
3,Hen,Drain2NT,840.369273,0
3,Hen,Drain2Retired,777.4332766,0
3,Hen,Drain2RetiredAll,0,0
3,Hen,Drain2RetiredCT,784.1245415,0
3,Hen,Drain2RetiredNT,840.369273,0
3,Hen,Drain3NT,580.8757698,0
3,Hen,Drain3Retired,501.7998509,0
3,Hen,Drain3RetiredAll,0,0
3,Hen,Drain3RetiredCT,506.6690689,0
3,Hen,Drain3RetiredNT,580.8757698,0
3,Hen,NoTillRetired,1893.356071,2005.56502
3,Hen,RetiredAll,122.8700377,0
3,Hen,RetiredPothole,1752.947974,1910.291475
3,Lettuce,ConTillDrain01,4538.835596,3565.2103
3,Lettuce,ConTillDrain02,3643.368501,362.8083956
3,Lettuce,ConTillDrain03,2838.182588,0
3,Lettuce,ConTillRetired,5576.366316,4728.350292
3,Lettuce,Drain0,5549.4835,4479.867481
3,Lettuce,Drain01,3934.657887,1205.042595
3,Lettuce,Drain02,3169.025353,0
3,Lettuce,Drain03,2402.120248,0
3,Lettuce,Drain0CT,6170.788101,5466.172165
3,Lettuce,Drain0NT,7038.197899,6478.740679
3,Lettuce,Drain1NT,5324.348597,4938.760385
3,Lettuce,Drain1Retired,3507.011472,0
3,Lettuce,Drain1RetiredAll,660.6276323,0
3,Lettuce,Drain1RetiredCT,3914.059951,2207.313984
3,Lettuce,Drain1RetiredNT,4537.634349,3882.35375
3,Lettuce,Drain2NT,4276.662646,3583.524177
3,Lettuce,Drain2Retired,2814.738501,0
3,Lettuce,Drain2RetiredAll,384.0114465,0
3,Lettuce,Drain2RetiredCT,3102.192294,0
3,Lettuce,Drain2RetiredNT,3606.39066,1589.126594
3,Lettuce,Drain3NT,3242.027532,0
3,Lettuce,Drain3Retired,2006.918032,0
3,Lettuce,Drain3RetiredAll,220.9960706,0
3,Lettuce,Drain3RetiredCT,2279.253974,0
3,Lettuce,Drain3RetiredNT,2544.854629,0
3,Lettuce,NoTillRetired,6212.928685,5682.493193
3,Lettuce,RetiredAll,1414.791594,0
3,Lettuce,RetiredPothole,5074.907874,3996.68819
3,Mouth,ConTillDrain01,2920.07121,0
3,Mouth,ConTillDrain02,1952.255044,0
3,Mouth,ConTillDrain03,1019.338493,0
3,Mouth,ConTillRetired,2333.998239,0
3,Mouth,Drain0,3209.296246,0
3,Mouth,Drain01,2846.894672,0
3,Mouth,Drain02,1886.628406,0
3,Mouth,Drain03,926.7162073,0
3,Mouth,Drain0CT,3284.472717,0
3,Mouth,Drain0NT,3736.323414,2328.902816
3,Mouth,Drain1NT,3265.039631,0
3,Mouth,Drain1Retired,1644.42547,0
3,Mouth,Drain1RetiredAll,0,0
