"","scen","range","pct","area.pct","Pothole"
"244","CoverCrop","seven",0.2,0.7,"Bunny"
"245","Drain0","seven",0.44,0.7,"Bunny"
"246","Drain01","seven",0.44,0.7,"Bunny"
"247","Drain02","seven",0.28,0.7,"Bunny"
"248","Drain03","seven",0.2,0.7,"Bunny"
"249","Drain0CT","seven",0.4,0.7,"Bunny"
"250","Drain0NT","seven",0.36,0.7,"Bunny"
"251","Drain1NT","seven",0.32,0.7,"Bunny"
"252","Drain1Retired","seven",0.32,0.7,"Bunny"
"253","Drain1RetiredAll","seven",0.16,0.7,"Bunny"
"254","Drain1RetiredCT","seven",0.32,0.7,"Bunny"
"255","Drain1RetiredNT","seven",0.32,0.7,"Bunny"
"256","Drain2NT","seven",0.32,0.7,"Bunny"
"257","Drain2Retired","seven",0.28,0.7,"Bunny"
"258","Drain2RetiredAll","seven",0.16,0.7,"Bunny"
"259","Drain2RetiredCT","seven",0.24,0.7,"Bunny"
"260","Drain2RetiredNT","seven",0.28,0.7,"Bunny"
"261","Drain3NT","seven",0.24,0.7,"Bunny"
"262","Drain3Retired","seven",0.2,0.7,"Bunny"
"263","Drain3RetiredAll","seven",0.16,0.7,"Bunny"
"264","Drain3RetiredCT","seven",0.2,0.7,"Bunny"
"265","Drain3RetiredNT","seven",0.24,0.7,"Bunny"
"266","NoTillRetired","seven",0.36,0.7,"Bunny"
"267","PlantDate01","seven",0.24,0.7,"Bunny"
"268","PlantDate02","seven",0.24,0.7,"Bunny"
"269","PlantDate03","seven",0.24,0.7,"Bunny"
"270","PlantDate04","seven",0.24,0.7,"Bunny"
"271","RetiredAll","seven",0.24,0.7,"Bunny"
"272","RetiredPothole","seven",0.44,0.7,"Bunny"
"273","Base","eight",0.16,0.8,"Bunny"
"274","ConTillDrain01","eight",0.24,0.8,"Bunny"
"275","ConTillDrain02","eight",0.2,0.8,"Bunny"
"276","ConTillDrain03","eight",0.16,0.8,"Bunny"
"277","ConTillRetired","eight",0.36,0.8,"Bunny"
"278","CoverCrop","eight",0.16,0.8,"Bunny"
"279","Drain0","eight",0.32,0.8,"Bunny"
"280","Drain01","eight",0.24,0.8,"Bunny"
"281","Drain02","eight",0.16,0.8,"Bunny"
"282","Drain03","eight",0.16,0.8,"Bunny"
"283","Drain0CT","eight",0.36,0.8,"Bunny"
"284","Drain0NT","eight",0.28,0.8,"Bunny"
"285","Drain1NT","eight",0.24,0.8,"Bunny"
"286","Drain1Retired","eight",0.24,0.8,"Bunny"
"287","Drain1RetiredAll","eight",0.12,0.8,"Bunny"
"288","Drain1RetiredCT","eight",0.2,0.8,"Bunny"
"289","Drain1RetiredNT","eight",0.24,0.8,"Bunny"
"290","Drain2NT","eight",0.2,0.8,"Bunny"
"291","Drain2Retired","eight",0.2,0.8,"Bunny"
"292","Drain2RetiredAll","eight",0.08,0.8,"Bunny"
"293","Drain2RetiredCT","eight",0.2,0.8,"Bunny"
"294","Drain2RetiredNT","eight",0.2,0.8,"Bunny"
"295","Drain3NT","eight",0.2,0.8,"Bunny"
"296","Drain3Retired","eight",0.16,0.8,"Bunny"
"297","Drain3RetiredAll","eight",0.08,0.8,"Bunny"
"298","Drain3RetiredCT","eight",0.16,0.8,"Bunny"
"299","Drain3RetiredNT","eight",0.2,0.8,"Bunny"
"300","NoTillRetired","eight",0.28,0.8,"Bunny"
"301","PlantDate01","eight",0.16,0.8,"Bunny"
"302","PlantDate02","eight",0.16,0.8,"Bunny"
"303","PlantDate03","eight",0.16,0.8,"Bunny"
"304","PlantDate04","eight",0.16,0.8,"Bunny"
"305","RetiredAll","eight",0.16,0.8,"Bunny"
"306","RetiredPothole","eight",0.32,0.8,"Bunny"
"307","Base","nine",0.12,0.9,"Bunny"
"308","ConTillDrain01","nine",0.16,0.9,"Bunny"
"309","ConTillDrain02","nine",0.16,0.9,"Bunny"
"310","ConTillDrain03","nine",0.16,0.9,"Bunny"
"311","ConTillRetired","nine",0.2,0.9,"Bunny"
"312","CoverCrop","nine",0.12,0.9,"Bunny"
"313","Drain0","nine",0.24,0.9,"Bunny"
"314","Drain01","nine",0.16,0.9,"Bunny"
"315","Drain02","nine",0.16,0.9,"Bunny"
